sessionCount,sessionName,method,r2_x,r2_y,r2_weighted,n_run
1,indy_20160407_02,TTS,0.6780031030691214,0.7196003219882753,0.69834047114618,0
1,indy_20160407_02,TTS,0.6918513801572193,0.7026653048756009,0.6971384347505261,1
1,indy_20160407_02,TTS,0.6987482835237214,0.7092700672740397,0.7038925069722489,2
1,indy_20160407_02,TTS,0.6989208751484015,0.7138649640066876,0.7062272154178774,3
1,indy_20160407_02,TTS,0.6920423868814713,0.7246916282689004,0.7080049838239111,4
1,indy_20160407_02,None,0.6896789727134158,0.7143303317741801,0.701731311207316,0
1,indy_20160407_02,None,0.6925811967377937,0.7069383350723554,0.6996005700139439,1
1,indy_20160407_02,None,0.674655943958115,0.7219917583804307,0.6977989786644738,2
1,indy_20160407_02,None,0.6864666757781468,0.7223849931537456,0.7040275623026983,3
1,indy_20160407_02,None,0.6879646125677497,0.6989754297820621,0.6933479302109781,4
2,indy_20160411_01,TTS,0.7859177115516541,0.7747149179334984,0.7801776882647125,0
2,indy_20160411_01,TTS,0.7716803268479655,0.7971092631651467,0.7847094597230179,1
2,indy_20160411_01,TTS,0.7776343047852227,0.7988768568003825,0.7885184420278697,2
2,indy_20160411_01,TTS,0.7786096058994618,0.7916683867286117,0.7853005892928256,3
2,indy_20160411_01,TTS,0.7820315979773594,0.7911464319389906,0.7867018044436789,4
2,indy_20160411_01,None,0.768732093388097,0.7947516272748254,0.7820638332661852,0
2,indy_20160411_01,None,0.7883272500823597,0.8006215857353557,0.7946265514308449,1
2,indy_20160411_01,None,0.7732727801389292,0.797817128684457,0.7858486729935272,2
2,indy_20160411_01,None,0.793097696178377,0.8051010363149477,0.7992478989093565,3
2,indy_20160411_01,None,0.7824367893968984,0.8034849920473951,0.7932213470242286,4
3,indy_20160411_02,TTS,0.7714276947572697,0.7986709455453167,0.7843912670905981,0
3,indy_20160411_02,TTS,0.7551207249805904,0.7825139022776517,0.7681556391357656,1
3,indy_20160411_02,TTS,0.7668586382619563,0.7904748616760093,0.7780963067344137,2
3,indy_20160411_02,TTS,0.7522478663254022,0.7982223531099077,0.774124608919573,3
3,indy_20160411_02,TTS,0.7621368676248599,0.7925077269196656,0.7765886977077161,4
3,indy_20160411_02,None,0.7532366625743321,0.8013074961656909,0.7761109419044013,0
3,indy_20160411_02,None,0.7766548289488365,0.7926112863495298,0.7842476339083789,1
3,indy_20160411_02,None,0.753184478261874,0.793983897238582,0.7725986892595692,2
3,indy_20160411_02,None,0.7562500149264884,0.7773188892044542,0.7662755393328498,3
3,indy_20160411_02,None,0.7613350541466566,0.7936841043870815,0.7767281970563923,4
4,indy_20160418_01,TTS,0.7303635413684939,0.7688167221904462,0.7503819023234373,0
4,indy_20160418_01,TTS,0.7221212808953423,0.7626315075785791,0.743210520401082,1
4,indy_20160418_01,TTS,0.7349117772697932,0.7707871361559174,0.7535881485925164,2
4,indy_20160418_01,TTS,0.7207356019592372,0.7663117257908968,0.7444620994371393,3
4,indy_20160418_01,TTS,0.7343083106159957,0.7724313640776738,0.7541548104006076,4
4,indy_20160418_01,None,0.7125572959574701,0.7697078390895261,0.742309326263774,0
4,indy_20160418_01,None,0.7256669706368802,0.7741079307136872,0.7508848746722189,1
4,indy_20160418_01,None,0.7216793065487213,0.7724273513377597,0.7480982569873971,2
4,indy_20160418_01,None,0.7366025617102235,0.7647895288092511,0.7512764292434744,3
4,indy_20160418_01,None,0.7403738087921057,0.7714938204695789,0.7565745914937034,4
5,indy_20160419_01,TTS,0.7537492421476905,0.6878645651908601,0.7259889178649814,0
5,indy_20160419_01,TTS,0.7631167591331068,0.6967660100547809,0.7351600566661304,1
5,indy_20160419_01,TTS,0.7449860992623825,0.6739679050724345,0.7150627818576822,2
5,indy_20160419_01,TTS,0.751355144314005,0.7065072913900441,0.732458626974045,3
5,indy_20160419_01,TTS,0.7481036614510147,0.6849053415234929,0.7214752261858628,4
5,indy_20160419_01,None,0.7412299445684651,0.691360631910366,0.7202176492201594,0
5,indy_20160419_01,None,0.7518958115905645,0.6893894249285257,0.725558920470714,1
5,indy_20160419_01,None,0.7374964941402578,0.7108868532957053,0.7262845964273009,2
5,indy_20160419_01,None,0.732217367695194,0.7022364753358892,0.7195850025896536,3
5,indy_20160419_01,None,0.7569144576512887,0.7026086176744024,0.7340328439311354,4
6,indy_20160420_01,TTS,0.7933916061509014,0.7605038554433845,0.7760150819432807,0
6,indy_20160420_01,TTS,0.7776297082546436,0.7610106112546628,0.7688488662962739,1
6,indy_20160420_01,TTS,0.778079275749959,0.7636985138123399,0.770481077254858,2
6,indy_20160420_01,TTS,0.7746856869604044,0.7498314292943903,0.7615537274707807,3
